_id,baujahr,baujahrZusatz,bezirk,denkmalnummer,feedsEntityId,feedsFlatstoreEntryId,kurzbezeichnung,lat,lon,nummer,ort,plz,strasse,timestamp,unterSchutz,untergruppe1,untergruppe2
,1686,,8,616,1187,625,KD-Wegekreuz,0.0,0.0,o.Nr.,Rath-Heumar,51107,"Rösrather Strasse / Sengerweg",1432648734,01.07.1980,,0
,20,Ende,8,621,1187,630,"Grünanlage mit Spielplatz",0.0,0.0,o.Nr.,Ostheim,51107,"Schwetzinger Strasse / Vingster Ring",1432648734,01.07.1980,,0
,1890,um,9,623,1187,632,Schule,0.0,0.0,49,Buchheim,51065,"Alte Wipperfürther Strasse",1432648734,01.07.1980,,0
,1870,um,8,624,1187,633,"Hofanlage Schönrather Hof",0.0,0.0,33-35,Höhenhaus,51061,"Am Flachsroster Weg ",1432648734,01.07.1980,,0
,1927,,9,625,1187,634,"Grün- u. Sportanlage",0.0,0.0,o.Nr.,Stammheim,51061,"Am Stammheimer Häuschen",1432648734,01.07.1980,,0
,19,,9,626,1187,635,Allee,0.0,0.0,o.Nr.,Dellbrück,51069,"Bergisch Gladbacher Strasse",1432648734,01.07.1980,,0
,1907,,9,627,1187,636,"Wohn- u. Geschäftshaus",0.0,0.0,1006,Dellbrück,51069,"Bergisch Gladbacher Strasse",1432648734,01.07.1980,,0
,1925,,9,628,1187,637,KD-Wegekreuz,0.0,0.0,o.Nr.,Holweide,51069,"Bergisch Gladbacher Strasse",1432648734,01.07.1980,,0
,1890,um,9,629,1187,638,"Wohn- u. Geschäftshaus",0.0,0.0,159,Mülheim,51065,"Bergisch Gladbacher Strasse",1432648734,01.07.1980,,0
,1890,um,9,630,1187,639,Wohnhaus,0.0,0.0,161,Mülheim,51065,"Bergisch Gladbacher Strasse",1432648734,01.07.1980,,0
,1884,,9,632,1187,641,KD-Wegekreuz,0.0,0.0,o.Nr.,Dünnwald,51069,"Berliner Strasse / Zeisbuschweg",1432648734,01.07.1980,,0
,1884,,9,633,1187,642,KD-Wegekreuz,0.0,0.0,o.Nr.,Dünnwald,51069,"Berliner Strasse / Dünnwalder Mauspfad",1432648734,01.07.1980,,0
,1939,,9,635,1187,644,Bunker,0.0,0.0,20,Mülheim,51068,"Berliner Strasse",1432648734,01.07.1980,,0
,1930,um,9,636,1187,645,"Allee u. Platzgestaltung",0.0,0.0,o.Nr.,Stammheim,51061,"Bilharzstrasse / Stammheimer Ring",1432648734,01.07.1980,,0
,1830,um,9,639,1187,648,KD-Bildstock,0.0,0.0,o.Nr.,Buchheim,51067,"Buchheimer Ring / Schlagbaumweg",1432648734,01.07.1980,,0
,1762,,9,644,1187,652,KD-Wegekreuz,0.0,0.0,o.Nr.,Dellbrück,51069,"Dellbrücker Hauptstrasse / Im Riephagen",1432648734,01.07.1980,,0
,19,,9,646,1187,654,KD-Bildstock,0.0,0.0,o.Nr.,Dünnwald,51069,"Dorfheidestrasse / Auf der Aue ",1432648734,01.07.1980,,0
,1954,,9,647,1187,655,"KD-Bildstock (sog. Weißer Mönch)",0.0,0.0,o.Nr.,Dünnwald,51069,"Dünnwalder Kommunalweg / Mühlenweg ",1432648734,01.07.1980,,0
